Type,recAP,recAM,recAP.line,recAM.line,Total,Total.line,IS
IS.count,380.00,135.00,15.83, 6.75,515.00,11.70,    NA
Ins.MA20,604.00,236.00,25.17,11.80,840.00,19.09,    NA
Ins.prevgen,644.00,258.00,26.83,12.90,902.00,20.50,    NA
Ins.prevgen.simple,260.00,106.00,10.83, 5.30,366.00, 8.32,    NA
Deletion,254.00,109.00,10.58, 5.45,363.00, 8.25,358.00
Duplication, 31.00, 11.00, 1.29, 0.55, 42.00, 0.95, 42.00
Duplication2, 38.00, 13.00, 1.58, 0.65, 51.00, 1.16, 51.00
Inversion, 42.00, 12.00, 1.75, 0.60, 54.00, 1.23, 54.00
